Filename,PartID,Channel,ReadHit,ReadNum,WriteHit,WriteNum
0masstree_25rps_1xalancbmk_8channels.out,1,770ae800,30492,4150597,198,191239
15masstree_25rps_1cam4_8channels.out,1,de13a000,46895,201792,2,168
15masstree_25rps_1roms_8channels.out,1,e2c47000,47615,196815,0,104
15masstree_25rps_1exchange2_8channels.out,1,54a64000,54358,206568,1,197
0masstree_25rps_1perlbench_8channels.out,1,d7f89000,100,6204,0,0
15masstree_25rps_1blender_8channels.out,1,7122b800,46808,453197,190,157307
0masstree_25rps_1gcc_8channels.out,1,2aabb800,254,30697,18,10149
0masstree_25rps_1blender_8channels.out,1,7ca8f800,4979,691988,497,386997
0masstree_25rps_1baseline_8channels.out,1,eec0c800,21,311,0,0
15masstree_25rps_1lbm_8channels.out,1,bfa01000,39974,689634,3,473428
0masstree_25rps_1deepsjeng_8channels.out,1,b8226800,67,4079142,9,3689846
15masstree_25rps_1perlbench_8channels.out,1,47137800,37922,175283,1,766
0masstree_25rps_1mcf_8channels.out,1,86c46800,1270669,7518096,1575,61337
15masstree_25rps_1imagick_8channels.out,1,556ab000,51674,325346,1,80969
0masstree_25rps_1cam4_8channels.out,1,5cbb4800,35,1004,0,0
0masstree_25rps_1roms_8channels.out,1,b9ba1000,29,741,0,0
0masstree_25rps_1parest_8channels.out,1,f2ef4800,108,3605,0,0
15masstree_25rps_1gcc_8channels.out,1,959f9800,44274,223870,18,10715
0masstree_25rps_1xz_8channels.out,1,a84d000,7712,1863890,4,1109732
0masstree_25rps_1lbm_8channels.out,1,e2522000,7498,864644,2634,846900
0masstree_25rps_1x264_8channels.out,1,19d4f000,88277,3968741,22669,1915285
15masstree_25rps_1x264_8channels.out,1,5c0a7000,52858,455417,3164,187911
15masstree_25rps_1deepsjeng_8channels.out,1,ee8e3000,40476,689528,5,473482
15masstree_25rps_1cactuBSSN_8channels.out,1,1f18b000,126811,703944,34369,372208
15masstree_25rps_1parest_8channels.out,1,f1355000,42386,199853,0,132
15masstree_25rps_1namd_8channels.out,1,b62f9800,45379,370919,21,147750
15masstree_25rps_1nab_8channels.out,1,e9c7b000,50403,196564,0,132
0masstree_25rps_1cactuBSSN_8channels.out,1,c4a86800,1115558,14796871,159871,6187343
15masstree_25rps_1fotonik3d_8channels.out,1,26762000,56555,206480,1,248
15masstree_25rps_1leela_8channels.out,1,d5656800,41962,215479,4,3767
15masstree_25rps_1xalancbmk_8channels.out,1,7842f800,43098,268558,39,38713
0masstree_25rps_1omnetpp_8channels.out,1,ecfce800,131,2993,0,0
0masstree_25rps_1imagick_8channels.out,1,9ee41800,905,143762,5,88149
0masstree_25rps_1nab_8channels.out,1,d62dc800,30,573,0,0
0masstree_25rps_1namd_8channels.out,1,d090800,45116,2836714,785,872642
15masstree_25rps_1baseline_8channels.out,1,7c0d1000,44028,194072,0,88
0masstree_25rps_1povray_8channels.out,1,2d06c800,84,2340,0,0
15masstree_25rps_1bwaves_8channels.out,1,ba589000,46864,197323,0,160
0masstree_25rps_1bwaves_8channels.out,1,eb46c800,22,672,0,0
15masstree_25rps_1wrf_8channels.out,1,611c800,49023,196689,2,101
0masstree_25rps_1exchange2_8channels.out,1,9b270800,29,824,0,0
15masstree_25rps_1omnetpp_8channels.out,1,934ac800,40953,203754,0,139
15masstree_25rps_1mcf_8channels.out,1,aa014800,230065,1030971,1586,49577
15masstree_25rps_1xz_8channels.out,1,e3989800,34324,269143,1,41825
0masstree_25rps_1wrf_8channels.out,1,ff984800,37,903,0,0
15masstree_25rps_1povray_8channels.out,1,27cdb000,47133,198253,0,118
0masstree_25rps_1leela_8channels.out,1,a46e000,72,20188,0,2359
0masstree_25rps_1fotonik3d_8channels.out,1,6ea88800,31,756,0,0
