Filename,PartID,Channel,ReadHit,ReadNum,WriteHit,WriteNum
0masstree_25rps_1xalancbmk_8channels.out,1,770b0800,34718,4206399,263,189231
0masstree_25rps_1xalancbmk_8channels.out,1,770af800,27769,3955232,270,188323
0masstree_25rps_1xalancbmk_8channels.out,1,770b1000,34044,4155264,235,187788
0masstree_25rps_1xalancbmk_8channels.out,1,770ae800,30492,4150597,198,191239
0masstree_25rps_1xalancbmk_8channels.out,1,770b1800,32315,4177418,388,190583
0masstree_25rps_1xalancbmk_8channels.out,1,770b0000,34945,4101969,218,184661
0masstree_25rps_1xalancbmk_8channels.out,1,76e3e800,31105,4153468,173,186019
0masstree_25rps_1xalancbmk_8channels.out,1,770af000,31910,4173274,264,184815
15masstree_25rps_1cam4_8channels.out,1,de13a800,46970,202459,1,190
15masstree_25rps_1cam4_8channels.out,1,de13c000,46234,197604,3,146
15masstree_25rps_1cam4_8channels.out,1,de13b000,46912,201177,0,183
15masstree_25rps_1cam4_8channels.out,1,de13b800,48582,201066,1,171
15masstree_25rps_1cam4_8channels.out,1,de13a000,46895,201792,2,168
15masstree_25rps_1cam4_8channels.out,1,ddeca800,53429,206611,3,253
15masstree_25rps_1cam4_8channels.out,1,de13c800,46111,197389,0,149
15masstree_25rps_1cam4_8channels.out,1,de13d000,45712,195502,1,129
15masstree_25rps_1cam4_8channels.out,1,de13binterval:,48431,193334,1,122
15masstree_25rps_1cam4_8channels.out,1,de13interval:,45986,192636,0,130
15masstree_25rps_1cam4_8channels.out,1,de13b800interval:,48559,199356,1,159
15masstree_25rps_1roms_8channels.out,1,e2c45000,48438,201843,0,157
15masstree_25rps_1roms_8channels.out,1,e2c46800,48510,197020,1,120
15masstree_25rps_1roms_8channels.out,1,e2c45800,49159,200580,0,136
15masstree_25rps_1roms_8channels.out,1,e2c46000,50110,200470,0,150
15masstree_25rps_1roms_8channels.out,1,e2c44000,55213,205997,1,225
15masstree_25rps_1roms_8channels.out,1,e2c44800,49171,201043,0,135
15masstree_25rps_1roms_8channels.out,1,e2c47000,47615,196815,0,104
15masstree_25rps_1roms_8channels.out,1,e2c47800,48049,194782,1,152
15masstree_25rps_1roms_8channels.out,1,e2c4interval:,48940,192211,0,94
15masstree_25rps_1exchange2_8channels.out,1,54a65000,47621,202249,1,133
15masstree_25rps_1exchange2_8channels.out,1,54a66800,46489,197416,1,100
15masstree_25rps_1exchange2_8channels.out,1,54a65800,47165,200999,0,126
15masstree_25rps_1exchange2_8channels.out,1,54a66000,49239,200879,0,144
15masstree_25rps_1exchange2_8channels.out,1,54a64800,47157,201614,1,132
15masstree_25rps_1exchange2_8channels.out,1,54a64000,54358,206568,1,197
15masstree_25rps_1exchange2_8channels.out,1,54a67000,46823,197203,1,100
15masstree_25rps_1exchange2_8channels.out,1,54a67800,46056,195345,0,87
15masstree_25rps_1exchange2_8channels.out,1,54a67interval:,46006,192503,0,80
15masstree_25rps_1exchange2_8channels.out,1,54interval:,47152,200584,1,127
15masstree_25rps_1exchange2_8channels.out,1,54a6780interval:,46036,194400,0,83
0masstree_25rps_1perlbench_8channels.out,1,d7f8a800,103,6219,0,0
0masstree_25rps_1perlbench_8channels.out,1,d7f88800,101,6234,0,0
0masstree_25rps_1perlbench_8channels.out,1,d7f8b000,108,6190,0,0
0masstree_25rps_1perlbench_8channels.out,1,d7f89000,100,6204,0,0
0masstree_25rps_1perlbench_8channels.out,1,d7f8b800,102,6208,0,0
0masstree_25rps_1perlbench_8channels.out,1,d7f8a000,119,6249,0,0
0masstree_25rps_1perlbench_8channels.out,1,d7f89800,106,6268,0,0
0masstree_25rps_1perlbench_8channels.out,1,d7d18800,107,6215,0,0
15masstree_25rps_1blender_8channels.out,1,71229000,47964,426571,190,140377
15masstree_25rps_1blender_8channels.out,1,7122a800,47295,444287,186,151693
15masstree_25rps_1blender_8channels.out,1,71229800,47800,430082,204,142830
15masstree_25rps_1blender_8channels.out,1,7122a000,49795,437175,207,146492
15masstree_25rps_1blender_8channels.out,1,71228000,54700,408622,171,128022
15masstree_25rps_1blender_8channels.out,1,71228800,47785,412476,188,132929
15masstree_25rps_1blender_8channels.out,1,7122b000,47134,444208,193,151778
15masstree_25rps_1blender_8channels.out,1,7122b800,46808,453197,190,157307
0masstree_25rps_1gcc_8channels.out,1,2aabc800,166,30601,4,10068
0masstree_25rps_1gcc_8channels.out,1,2aabb000,187,30388,5,9953
0masstree_25rps_1gcc_8channels.out,1,2aabd000,190,30352,7,9991
0masstree_25rps_1gcc_8channels.out,1,2aabd800,216,30520,13,10068
0masstree_25rps_1gcc_8channels.out,1,2aabc000,185,31236,6,10401
0masstree_25rps_1gcc_8channels.out,1,2aabb800,254,30697,18,10149
0masstree_25rps_1gcc_8channels.out,1,2a84a800,204,30967,9,10159
0masstree_25rps_1gcc_8channels.out,1,2aaba800,166,30034,10,9790
0masstree_25rps_1blender_8channels.out,1,7ca90800,4952,691782,477,386916
0masstree_25rps_1blender_8channels.out,1,7ca8e800,4968,691464,481,386684
0masstree_25rps_1blender_8channels.out,1,7ca91000,4767,691763,526,386846
0masstree_25rps_1blender_8channels.out,1,7ca91800,4834,692185,518,387157
0masstree_25rps_1blender_8channels.out,1,7ca90000,4938,691885,514,387115
0masstree_25rps_1blender_8channels.out,1,7ca8f800,4979,691988,497,386997
0masstree_25rps_1blender_8channels.out,1,7c81e800,4840,691395,496,386852
0masstree_25rps_1blender_8channels.out,1,7ca8f000,4997,691416,455,386836
0masstree_25rps_1baseline_8channels.out,1,eec0c800,21,311,0,0
0masstree_25rps_1baseline_8channels.out,1,eec0e800,22,301,0,0
0masstree_25rps_1baseline_8channels.out,1,eec0d000,20,307,0,0
0masstree_25rps_1baseline_8channels.out,1,eec0d800,19,305,0,0
0masstree_25rps_1baseline_8channels.out,1,eec0c000,23,298,0,0
0masstree_25rps_1baseline_8channels.out,1,ee99c800,19,297,0,0
0masstree_25rps_1baseline_8channels.out,1,eec0e000,18,316,0,0
0masstree_25rps_1baseline_8channels.out,1,eec0f000,23,305,0,0
15masstree_25rps_1lbm_8channels.out,1,bf9ff000,40389,694708,4,473705
15masstree_25rps_1lbm_8channels.out,1,bfa00800,39391,689884,2,473356
15masstree_25rps_1lbm_8channels.out,1,bf9ff800,39666,693432,3,473633
15masstree_25rps_1lbm_8channels.out,1,bfa00000,42397,693308,6,473578
15masstree_25rps_1lbm_8channels.out,1,bf9fe800,39546,693881,3,473662
15masstree_25rps_1lbm_8channels.out,1,bf9fe000,47383,698833,3,474136
15masstree_25rps_1lbm_8channels.out,1,bfa01000,39974,689634,3,473428
15masstree_25rps_1lbm_8channels.out,1,bfa01800,39286,687632,2,473330
15masstree_25rps_1lbm_8channels.out,1,bfa,13673,48621,0,112
15masstree_25rps_1lbm_8channels.out,1,bf9fpopulate,14071,49405,0,120
0masstree_25rps_1deepsjeng_8channels.out,1,b8226800,67,4079142,9,3689846
0masstree_25rps_1deepsjeng_8channels.out,1,b8227000,70,4077050,11,3688368
0masstree_25rps_1deepsjeng_8channels.out,1,b8226000,74,4077958,7,3689381
0masstree_25rps_1deepsjeng_8channels.out,1,b8227800,78,4076036,11,3687508
0masstree_25rps_1deepsjeng_8channels.out,1,b7fb6800,54,4075088,9,3686992
0masstree_25rps_1deepsjeng_8channels.out,1,b8228000,83,4078267,7,3689836
0masstree_25rps_1deepsjeng_8channels.out,1,b8228800,107,4078287,9,3689672
0masstree_25rps_1deepsjeng_8channels.out,1,b8229000,101,4076817,9,3688813
0masstree_25rps_1deepsjeng_8channels.out,1,b82260,41,2837716,7,2820580
15masstree_25rps_1perlbench_8channels.out,1,47135000,39159,181328,1,735
15masstree_25rps_1perlbench_8channels.out,1,47136800,38138,177364,0,751
15masstree_25rps_1perlbench_8channels.out,1,47135800,38672,180242,0,745
15masstree_25rps_1perlbench_8channels.out,1,47136000,41013,180538,0,743
15masstree_25rps_1perlbench_8channels.out,1,47134800,38758,180636,1,745
15masstree_25rps_1perlbench_8channels.out,1,47134000,46259,186434,1,777
15masstree_25rps_1perlbench_8channels.out,1,47137000,38612,177125,2,747
15masstree_25rps_1perlbench_8channels.out,1,47137800,37922,175283,1,766
0masstree_25rps_1mcf_8channels.out,1,86eb6800,1270647,7533886,1637,61365
0masstree_25rps_1mcf_8channels.out,1,86eb7000,1267627,7557145,1603,61453
0masstree_25rps_1mcf_8channels.out,1,86eb7800,1272397,7545933,1588,61386
0masstree_25rps_1mcf_8channels.out,1,86eb6000,1272861,7519099,1584,61350
0masstree_25rps_1mcf_8channels.out,1,86c46800,1270669,7518096,1575,61337
0masstree_25rps_1mcf_8channels.out,1,86eb8000,1268867,7545110,1581,61393
0masstree_25rps_1mcf_8channels.out,1,86eb8800,1263506,7536902,1608,61317
0masstree_25rps_1mcf_8channels.out,1,86eb9000,1269567,7562602,1605,61463
15masstree_25rps_1imagick_8channels.out,1,556a8800,52746,332331,5,80978
15masstree_25rps_1imagick_8channels.out,1,556aa000,52132,327561,1,80979
15masstree_25rps_1imagick_8channels.out,1,556a9000,52869,331067,4,80982
15masstree_25rps_1imagick_8channels.out,1,556a9800,54348,330981,6,80977
15masstree_25rps_1imagick_8channels.out,1,55438800,59417,336490,4,81058
15masstree_25rps_1imagick_8channels.out,1,556a8000,52877,331545,6,81000
15masstree_25rps_1imagick_8channels.out,1,556aa800,51843,327338,4,80990
15masstree_25rps_1imagick_8channels.out,1,556ab000,51674,325346,1,80969
15masstree_25rps_1imagick_8channels.out,1,556a8000interval:,52769,329979,6,80764
15masstree_25rps_1imagick_8channels.out,1,556ainterval:,52774,330082,4,80762
0masstree_25rps_1cam4_8channels.out,1,5cbb4800,35,1004,0,0
0masstree_25rps_1cam4_8channels.out,1,5cbb5800,37,998,0,0
0masstree_25rps_1cam4_8channels.out,1,5cbb5000,42,983,0,0
0masstree_25rps_1cam4_8channels.out,1,5cbb4000,39,1006,0,0
0masstree_25rps_1cam4_8channels.out,1,5cbb3800,50,1026,0,0
0masstree_25rps_1cam4_8channels.out,1,5c942800,28,984,0,0
0masstree_25rps_1cam4_8channels.out,1,5cbb3000,29,975,0,0
0masstree_25rps_1cam4_8channels.out,1,5cbb2800,27,989,0,0
0masstree_25rps_1roms_8channels.out,1,b9ba0800,33,751,0,0
0masstree_25rps_1roms_8channels.out,1,b9ba1000,29,741,0,0
0masstree_25rps_1roms_8channels.out,1,b9ba0000,37,756,0,0
0masstree_25rps_1roms_8channels.out,1,b9ba1800,29,762,0,0
0masstree_25rps_1roms_8channels.out,1,b9930800,36,751,0,0
0masstree_25rps_1roms_8channels.out,1,b9ba2000,20,762,0,0
0masstree_25rps_1roms_8channels.out,1,b9ba2800,26,759,0,0
0masstree_25rps_1roms_8channels.out,1,b9ba3000,26,752,0,0
0masstree_25rps_1parest_8channels.out,1,f2ef4800,108,3605,0,0
0masstree_25rps_1parest_8channels.out,1,f2ef5000,120,3588,0,0
0masstree_25rps_1parest_8channels.out,1,f2ef4000,121,3600,0,0
0masstree_25rps_1parest_8channels.out,1,f2ef5800,104,3580,0,0
0masstree_25rps_1parest_8channels.out,1,f2ef3800,117,3584,0,0
0masstree_25rps_1parest_8channels.out,1,f2c82800,108,3592,0,0
0masstree_25rps_1parest_8channels.out,1,f2ef3000,99,3576,0,0
0masstree_25rps_1parest_8channels.out,1,f2ef2800,101,3577,0,0
0masstree_25rps_1parest_8channels.out,1,f2c82800main,106,3533,0,0
15masstree_25rps_1gcc_8channels.out,1,959f8800,42543,224830,5,10686
15masstree_25rps_1gcc_8channels.out,1,959fa000,42355,220509,6,10641
15masstree_25rps_1gcc_8channels.out,1,959f9000,42961,223312,3,10657
15masstree_25rps_1gcc_8channels.out,1,959f9800,44274,223870,18,10715
15masstree_25rps_1gcc_8channels.out,1,959f8000,42944,224399,8,10745
15masstree_25rps_1gcc_8channels.out,1,95788800,49482,229837,16,10896
15masstree_25rps_1gcc_8channels.out,1,959fa800,41835,220061,5,10580
15masstree_25rps_1gcc_8channels.out,1,959fb000,42052,217416,6,10444
0masstree_25rps_1xz_8channels.out,1,a84c800,8329,1862512,6,1109750
0masstree_25rps_1xz_8channels.out,1,a5dc800,13968,2383222,11,1629895
0masstree_25rps_1xz_8channels.out,1,a84d000,7712,1863890,4,1109732
0masstree_25rps_1xz_8channels.out,1,a84f000,8913,1863155,6,1109686
0masstree_25rps_1xz_8channels.out,1,a84d800,7884,1863590,5,1109752
0masstree_25rps_1xz_8channels.out,1,a84c000,7441,1863650,3,1109696
0masstree_25rps_1xz_8channels.out,1,a84e000,8339,1862685,6,1109807
0masstree_25rps_1xz_8channels.out,1,a84e800,8723,1862920,9,1109772
0masstree_25rps_1lbm_8channels.out,1,e2522800,7849,877889,2075,860219
0masstree_25rps_1lbm_8channels.out,1,e22b2800,7935,877989,2006,860199
0masstree_25rps_1lbm_8channels.out,1,e2523000,7661,864899,2648,847145
0masstree_25rps_1lbm_8channels.out,1,e2525000,7690,864825,2611,847088
0masstree_25rps_1lbm_8channels.out,1,e2523800,7708,877885,1972,860050
0masstree_25rps_1lbm_8channels.out,1,e2522000,7498,864644,2634,846900
0masstree_25rps_1lbm_8channels.out,1,e2524000,7741,865190,2647,847433
0masstree_25rps_1lbm_8channels.out,1,e2524800,7710,877945,1898,860153
0masstree_25rps_1x264_8channels.out,1,19d4e800,71798,3969684,15512,1915513
0masstree_25rps_1x264_8channels.out,1,19d50000,53557,3973678,2954,1914821
0masstree_25rps_1x264_8channels.out,1,19d4f000,88277,3968741,22669,1915285
0masstree_25rps_1x264_8channels.out,1,19d4f800,79094,3971613,13555,1915458
0masstree_25rps_1x264_8channels.out,1,19d4e000,53470,3968030,2933,1915209
0masstree_25rps_1x264_8channels.out,1,19ade800,80303,3972957,14065,1916130
0masstree_25rps_1x264_8channels.out,1,19d50800,70910,3971688,15311,1915146
0masstree_25rps_1x264_8channels.out,1,19d51000,87961,3970382,22486,1914719
0masstree_25rps_1x264_8channels.out,1,19d4profile,139,4641,0,0
15masstree_25rps_1x264_8channels.out,1,5c0a6800,50458,450800,1848,184299
15masstree_25rps_1x264_8channels.out,1,5c0a8000,45976,411834,5,156304
15masstree_25rps_1x264_8channels.out,1,5c0a7000,52858,455417,3164,187911
15masstree_25rps_1x264_8channels.out,1,5c0a7800,52587,410683,1539,153035
15masstree_25rps_1x264_8channels.out,1,5be36800,58436,441977,1709,172730
15masstree_25rps_1x264_8channels.out,1,5c0a6000,47057,451242,7,185467
15masstree_25rps_1x264_8channels.out,1,5c0a8800,48640,411593,1538,156348
15masstree_25rps_1x264_8channels.out,1,5c0a9000,50598,415526,2718,159587
15masstree_25rps_1x264_8channels.out,1,5c0a680start,23207,102066,0,180
15masstree_25rps_1deepsjeng_8channels.out,1,ee8e1000,40943,694606,10,473789
15masstree_25rps_1deepsjeng_8channels.out,1,ee8e2800,40293,689776,9,473383
15masstree_25rps_1deepsjeng_8channels.out,1,ee8e1800,40441,693340,6,473714
15masstree_25rps_1deepsjeng_8channels.out,1,ee8e2000,42968,693216,5,473617
15masstree_25rps_1deepsjeng_8channels.out,1,ee8e0000,47880,698738,14,474263
15masstree_25rps_1deepsjeng_8channels.out,1,ee8e0800,40333,693810,5,473755
15masstree_25rps_1deepsjeng_8channels.out,1,ee8e3000,40476,689528,5,473482
