15masstree_25rps_1baseline_8channels_latency.out,15masstree_25rps_1blender_8channels_latency.out,15masstree_25rps_1bwaves_8channels_latency.out,15masstree_25rps_1cactuBSSN_8channels_latency.out,15masstree_25rps_1cam4_8channels_latency.out,15masstree_25rps_1deepsjeng_8channels_latency.out,15masstree_25rps_1exchange2_8channels_latency.out,15masstree_25rps_1fotonik3d_8channels_latency.out,15masstree_25rps_1gcc_8channels_latency.out,15masstree_25rps_1imagick_8channels_latency.out,15masstree_25rps_1lbm_8channels_latency.out,15masstree_25rps_1leela_8channels_latency.out,15masstree_25rps_1mcf_8channels_latency.out,15masstree_25rps_1nab_8channels_latency.out,15masstree_25rps_1namd_8channels_latency.out,15masstree_25rps_1omnetpp_8channels_latency.out,15masstree_25rps_1parest_8channels_latency.out,15masstree_25rps_1perlbench_8channels_latency.out,15masstree_25rps_1povray_8channels_latency.out,15masstree_25rps_1roms_8channels_latency.out,15masstree_25rps_1wrf_8channels_latency.out,15masstree_25rps_1x264_8channels_latency.out,15masstree_25rps_1xalancbmk_8channels_latency.out,15masstree_25rps_1xz_8channels_latency.out
57982144,57905059,57961033,57513592,57979422,57460188,57949691,58019340,57939393,57897071,57465025,58004519,57893707,58003962,57932787,57946392,57985690,0,57990530,58021651,58020123,57844580,58009625,57807108
58084958,57952266,57979077,57539368,58040239,57453566,57960220,58033295,57974232,57909016,57480357,58031394,57918472,58061017,57921753,58010837,58003407,0,57992160,58043306,58010712,57880358,57988949,57847995
58034267,57913154,58020474,57555545,58127004,57450590,57975367,58048070,57973284,57938445,57458165,58040077,58012700,58046908,57977722,58007259,58025896,0,58074049,58022677,58030970,57898392,58004940,57874866
58068260,57924997,58042996,57575543,58105493,57442511,57997194,58064058,58035915,57890025,57481832,58063213,57941717,58062097,57982172,58006441,58036853,0,58109273,58042983,57978381,57930369,58033609,57846167
58091577,57950030,58047415,57581751,58104033,57465725,58035635,58068251,58004916,57946507,57517341,58055043,57992846,58078382,58025482,58060884,58047626,0,58061669,58055150,58075211,57893236,58071398,57876709
58055027,57946215,58084196,57582196,58116572,57528807,58039162,58061398,58044482,57985103,57477714,58048134,58003918,58076220,58000326,58065328,58065214,0,58076829,58053085,58072806,57892255,58095395,57888214
58046028,57967595,58103931,57582518,58135385,57491387,58040370,58064098,58064178,57963175,57500432,58122482,58025603,58086374,58033208,58044258,58083763,0,58080700,58052685,58052666,57901696,58104771,57870232
58099304,58011521,58112525,57594853,58121866,57539531,58052716,58109114,58049358,57960230,57518464,58035982,57914388,58120306,58037134,58034414,58071021,0,58103757,58075540,58112556,57918290,58101803,57878213
58086296,58038144,58099728,57561883,58105232,57483082,58063723,58087549,58059735,57963742,57565142,58111178,57932259,58114875,58059529,58061377,58099322,0,58076415,58079781,58107972,57929485,58070907,57947770
58102141,58041330,58114100,57643097,58161424,57523465,58046329,58111973,58058704,57991689,57547464,58126592,58049872,58134685,58034798,58069211,58174719,0,58132711,58115308,58160321,57939770,58079264,57944089
58098568,58050004,58125929,57655322,58134293,57442153,58100026,58052806,58116423,57993662,57579024,58128504,57954895,58132714,58055432,58136601,58084659,0,58119472,58156629,58150261,57920566,58114900,57897175
58103924,58063215,58136192,57666052,58140936,57450209,58106907,58135926,58105240,58005336,57586014,58040213,58046821,58144408,57997861,58114884,58111300,0,58107497,58110178,58109064,57970724,58121488,57948473
58053195,58078307,58163836,57648980,58130718,57555810,58136519,58122990,58090355,58016785,57543557,58110231,57984838,58144172,58043144,58107072,58140951,0,58109180,58116025,58118206,58001725,58118094,57994785
58116359,58097054,58112137,57696488,58173900,57587691,58121718,58147191,58120888,58013842,57672700,58041159,58063132,58147080,58031852,58162005,58117575,0,58061935,58146804,58127634,57952381,58160166,58000255
58128625,58116210,58159613,57688165,58168403,57658534,58144625,58177053,58113722,58032200,57632920,57967928,58048878,58141342,58084919,58171945,58170210,0,58118339,58153614,58151891,57973813,58159222,57986419
65826860,62171351,65638239,67551317,65705784,67322854,65619568,65614548,63091877,63455811,67667602,65237200,62536473,65686583,63759973,65566670,65676098,0,65516081,65896934,65135452,63284915,65362190,64031479
65808563,62379245,65686570,67999650,65840560,67411292,65761020,65648048,63351961,63503644,67712417,65235069,62759923,65752688,64186676,65578178,65878532,0,65659043,65863304,65285099,63450878,65530127,64853436
65914143,62484598,65755362,68060003,65865105,67466191,65857098,65700897,63387032,63595585,67662776,65280999,63036374,65835451,64189902,65659472,65879081,0,65679118,65856038,65265945,63632903,65685017,65057342
65944323,62493266,65828824,68088368,65898217,67443193,65901429,65775626,63573018,63624528,67822189,65367837,62935031,65894290,64240759,65648205,65968466,0,65965056,66020716,65700477,63676171,65744542,65069795
65930900,62708972,65893589,68132622,65945849,67485040,65938047,65983721,63604537,63668847,67723942,65464391,63252374,65942882,64357627,65663953,65987714,0,65986688,66065587,65810602,63854739,65778540,65137350
65931104,62948882,66031944,68143594,66014920,67533688,65949486,65990338,63847999,63954212,67795597,65472428,63276821,65972285,64515863,65733239,66045559,0,66028016,66081260,65893378,64084732,65894142,65298186
65940466,62966577,66058134,68070641,65983293,67555000,66023456,65995414,63898054,64087730,67810875,65483052,63281858,66099009,64581668,65734824,66009425,0,66088607,66145945,65853020,64074049,65948716,65352440
65977838,63271349,66097061,68180108,66153202,67469764,66067359,66020423,63927236,64178089,67748230,65600003,63465716,66152244,64676176,65863739,66090806,0,66222385,66182306,65995548,64560262,66047726,65368480
66062079,63416309,66105157,68180808,66168045,67587766,66197226,66144756,63909790,64196242,67772943,65436975,63741209,66234221,64704259,65854820,66115864,0,66168442,66278096,66010422,64724846,66046446,65383158
66074773,63644695,66132804,68193806,66302087,67440051,66325020,66200107,64344722,64358379,67841219,65576331,63896115,66286338,64706464,65936661,66091300,0,66280217,66298506,66091840,64747053,66324424,65439097
66116735,63938956,66194054,68215030,66381361,67659339,66335373,66314144,64394630,64398388,67848944,65687534,64091648,66349385,64800615,66071505,66172318,0,66245999,66368743,66187541,65275600,66343114,65480084
66283466,64305091,66271843,68197848,66364926,67615876,66493909,66298375,64530444,64442761,67841726,65810278,64258314,66404031,64843661,66086983,66184822,0,66284530,66389042,66354717,65568267,66383992,65620126
66337264,64307458,66285870,68235810,66466358,67558354,66651878,66315298,64536743,64435092,67838954,65722399,64581124,66404869,64901749,66163394,66330145,0,66443827,66442755,66489380,65617784,66400197,65714488
66326927,64393037,66298414,68336239,67101271,67567087,66685935,66317318,64608548,64628792,67896695,66095940,64842005,66532883,65374872,66223772,66312577,0,66474729,66490569,66795656,65666289,66371405,65722738
66371756,64717549,66625550,68317052,67802946,67663845,66799434,66489678,64726422,64736343,68118173,66376687,65103609,66615387,65443851,66608385,66387374,0,66740687,66543227,66758948,65900214,66601759,66139444
83979703,74572498,83682478,92048588,83339640,91756892,83905883,83889055,77013029,78083065,92432432,82207531,74367995,84166848,78421836,83031506,83927158,0,83480253,83907786,82326992,78234259,83396991,80611921
84123035,75251743,83902839,92934837,84116743,91881694,84107832,84028076,77638215,78177631,92474486,82277000,75419318,84264814,79008535,83264131,84093278,0,83664874,84187699,82906292,78872931,83556369,82414442
84235054,75366177,84037999,93078072,84203926,91875135,84398516,84069752,78020025,78251098,92423562,82398895,76210755,84298377,79150306,83446125,84405418,0,83726974,84335177,83189572,78969493,83606284,82481417
84273814,76132375,84148731,93148580,84286416,91957425,84432979,84252291,78557000,78421972,92483247,82505388,76228263,84399953,79435049,83667741,84588696,0,84690889,84481342,83641430,79063214,83792385,82575888
