  QueueTimes | ServiceTimes | SojournTimes

       0.554 |        6.143 |        6.696
       1.847 |        7.584 |        9.431
       1.679 |        6.276 |        7.955
       2.341 |        7.004 |        9.345
       0.542 |        6.822 |        7.364
       0.014 |        7.762 |        7.776
       0.014 |        8.716 |        8.730
       2.778 |        6.175 |        8.953
       0.016 |        6.097 |        6.113
       0.698 |        8.097 |        8.795
       3.059 |        7.805 |       10.864
       4.103 |        7.462 |       11.565
       3.426 |        6.463 |        9.889
       3.083 |        6.458 |        9.541
       3.844 |        6.526 |       10.370
       3.444 |        6.120 |        9.565
       1.654 |        7.939 |        9.593
       0.013 |        6.461 |        6.474
       1.731 |        6.052 |        7.783
       1.341 |        6.023 |        7.364
       1.912 |        8.289 |       10.201
       3.046 |        6.126 |        9.172
       4.680 |        6.033 |       10.713
       4.127 |        6.036 |       10.163
       0.014 |        6.093 |        6.107
       0.016 |        8.086 |        8.102
       1.412 |        6.077 |        7.490
       0.016 |        6.327 |        6.343
       0.014 |        6.246 |        6.260
       1.074 |        6.245 |        7.318
       0.636 |        6.153 |        6.789
       0.523 |        9.265 |        9.789
       0.015 |        6.339 |        6.353
       0.156 |        6.307 |        6.463
       0.016 |        7.081 |        7.097
       1.353 |        5.913 |        7.266
       0.016 |        6.315 |        6.331
       0.014 |        8.268 |        8.282
       0.920 |        7.169 |        8.088
       2.606 |        7.112 |        9.717
       0.439 |        6.132 |        6.570
       0.325 |        7.360 |        7.685
       0.013 |        5.938 |        5.952
       0.016 |        7.030 |        7.046
       1.159 |        6.546 |        7.705
       1.076 |        6.518 |        7.594
       1.675 |        6.512 |        8.187
       1.523 |        6.424 |        7.946
       2.249 |        8.747 |       10.996
       1.413 |        6.155 |        7.568
       0.013 |        6.129 |        6.143
       0.014 |        7.042 |        7.056
       1.020 |        6.955 |        7.975
       0.224 |        6.356 |        6.580
       1.112 |        6.917 |        8.029
       2.469 |        7.939 |       10.408
       3.667 |        6.403 |       10.070
       4.280 |        6.245 |       10.525
       2.356 |        6.101 |        8.457
       3.338 |        7.662 |       11.001
       5.498 |        6.188 |       11.686
       0.014 |        6.323 |        6.337
       0.632 |        7.015 |        7.647
       2.172 |        5.772 |        7.944
       0.016 |        7.622 |        7.638
       1.963 |        6.010 |        7.973
       2.099 |        6.472 |        8.571
       2.394 |        7.855 |       10.250
       2.783 |        6.343 |        9.126
       0.016 |        7.175 |        7.191
       0.015 |        7.493 |        7.508
       0.015 |        6.721 |        6.736
       0.014 |        7.413 |        7.427
       1.189 |        6.523 |        7.712
       0.053 |        6.035 |        6.088
       0.016 |        7.399 |        7.415
       0.014 |        6.019 |        6.033
       0.014 |        6.580 |        6.593
       0.887 |        7.247 |        8.133
       0.013 |        8.677 |        8.690
       0.015 |        6.142 |        6.157
       0.142 |        6.212 |        6.354
       0.013 |        6.332 |        6.346
       0.016 |        6.271 |        6.287
       0.281 |        6.173 |        6.454
